HS Code,Unit
12092300,KGM
12092400,KGM
12092500,KGM
120929,
120929100,KGM
120929900,KGM
12093000,KGM
120991,
120991100,KGM
120991900,KGM
120999,
120999200,KGM
120999300,KGM
120999900,KGM
12101000,KGM
12102000,KGM
121120,
121120100,KGM
121120900,KGM
12113000,KGM
12114000,KGM
12115000,KGM
12116000,KGM
121190,
121190110,KGM
121190120,KGM
121190130,KGM
121190150,KGM
121190170,KGM
121190180,KGM
121190190,KGM
121190910,KGM
121190920,KGM
121190940,KGM
121190950,KGM
121190970,KGM
121190980,KGM
121190990,KGM
121221,
121221110,KGM
121221120,KGM
121221130,KGM
121221190,KGM
121221900,KGM
121229,
121229110,KGM
121229190,KGM
121229200,KGM
121229300,KGM
12129100,KGM
12129200,KGM
121293,
121293100,KGM
121293900,KGM
12129400,KGM
121299,
121299100,KGM
121299900,KGM
1213000,KGM
12141000,KGM
12149000,KGM
13012000,KGM
130190,
130190300,KGM
130190400,KGM
130190900,KGM
130211,
130211100,KGM
130211900,KGM
13021200,KGM
13021300,KGM
13021400,KGM
130219,
130219200,KGM
130219400,KGM
130219500,KGM
130219900,KGM
13022000,KGM
13023100,KGM
13023200,KGM
130239,
130239110,KGM
130239120,KGM
130239130,KGM
130239190,KGM
130239900,KGM
14011000,KGM
140120,
140120100,KGM
140120210,KGM
140120290,KGM
140120300,KGM
140120900,KGM
14019000,KGM
14042000,KGM
140490,
140490200,KGM
140490300,KGM
140490910,KGM
140490920,KGM
140490990,KGM
15011000,KGM
15012000,KGM
15019000,KGM
15021000,KGM
150290,
150290100,KGM
150290900,KGM
15030,
15030100,KGM
15030900,KGM
150410,
150410200,KGM
150410900,KGM
150420,
150420100,KGM
150420900,KGM
15043000,KGM
15050,
15050100,KGM
15050900,KGM
1506000,KGM
15071000,KGM
150790,
150790100,KGM
150790200,KGM
150790900,KGM
15081000,KGM
15089000,KGM
150920,
150920100,KGM
150920900,KGM
15093000,KGM
15094000,KGM
150990,
150990110,KGM
150990190,KGM
150990910,KGM
150990990,KGM
15101000,KGM
151090,
151090100,KGM
151090200,KGM
151090900,KGM
15111000,tonne
151190,
151190200,tonne
151190310,tonne
151190320,tonne
151190360,tonne
151190370,tonne
151190390,tonne
151190410,tonne
151190420,tonne
151190490,tonne
15121100,KGM
151219,
151219100,KGM
151219200,KGM
151219900,KGM
15122100,KGM
151229,
151229100,KGM
151229900,KGM
151311,
151311100,KGM
151311900,KGM
151319,
151319100,KGM
151319900,KGM
151321,
151321100,tonne
151321900,KGM
151329,
151329110,tonne
151329120,KGM
151329130,tonne
151329140,KGM
151329910,tonne
151329920,KGM
151329940,tonne
151329950,tonne
151329960,tonne
151329970,KGM
15141100,KGM
151419,
151419100,KGM
151419200,KGM
151419900,KGM
15149100,KGM
151499,
151499100,KGM
151499900,KGM
15151100,KGM
15151900,KGM
15152100,KGM
151529,
151529110,KGM
151529190,KGM
151529910,KGM
151529990,KGM
151530,
151530100,KGM
151530900,KGM
151550,
151550100,KGM
151550200,KGM
151550900,KGM
15156000,KGM
151590,
151590110,KGM
151590120,KGM
151590190,KGM
151590210,KGM
151590220,KGM
151590290,KGM
151590310,KGM
151590320,KGM
151590390,KGM
151590910,KGM
151590920,KGM
151590990,KGM
151610,
151610200,KGM
151610900,KGM
151620,
151620110,KGM
151620120,KGM
151620140,KGM
151620170,KGM
151620180,KGM
151620190,KGM
151620210,tonne
151620220,tonne
151620230,tonne
151620240,tonne
151620250,tonne
151620260,tonne
151620290,KGM
151620310,KGM
151620320,KGM
151620330,KGM
151620340,KGM
151620350,KGM
151620390,KGM
151620410,KGM
151620420,KGM
151620430,KGM
151620440,KGM
151620450,KGM
151620460,KGM
151620470,tonne
151620480,KGM
151620490,KGM
151620510,KGM
151620520,KGM
151620530,KGM
151620540,KGM
151620590,KGM
151620610,tonne
151620620,tonne
151620690,tonne
151620910,tonne
151620920,KGM
151620930,KGM
151620940,KGM
151620960,tonne
151620980,KGM
151620990,KGM
15163000,KGM
151710,
151710100,KGM
151710900,KGM
151790,
151790100,KGM
151790200,KGM
151790300,KGM
151790430,KGM
151790440,KGM
151790500,KGM
151790610,KGM
151790620,tonne
151790630,tonne
151790640,tonne
151790650,tonne
151790660,tonne
151790670,KGM
151790680,KGM
151790690,KGM
151790800,KGM
151790900,KGM
15180,
15180120,KGM
15180140,KGM
15180150,KGM
15180160,KGM
15180190,KGM
15180200,KGM
15180320,tonne
15180330,KGM
15180340,KGM
15180350,KGM
15180360,KGM
15180370,KGM
15180380,tonne
15180390,KGM
15180600,KGM
15180900,KGM
15200,
15200100,KGM
15200900,KGM
15211000,KGM
152190,
152190100,KGM
152190200,KGM
15220,
15220100,KGM
15220900,KGM
16010,
16010100,KGM
16010900,KGM
160210,
160210100,KGM
160210900,KGM
16022000,KGM
160231,
160231100,KGM
160231910,KGM
160231990,KGM
160232,
160232100,KGM
160232900,KGM
16023900,KGM
160241,
160241100,KGM
160241900,KGM
160242,
160242100,KGM
160242900,KGM
160249,
160249110,KGM
160249190,KGM
160249910,KGM
160249990,KGM
160250,
160250100,KGM
160250900,KGM
160290,
160290100,KGM
160290200,KGM
160290900,KGM
16030,
16030100,KGM
16030900,KGM
160411,
160411100,KGM
160411900,KGM
160412,
160412100,KGM
160412900,KGM
160413,
160413110,KGM
160413190,KGM
160413910,KGM
160413990,KGM
160414,
160414110,KGM
160414190,KGM
160414910,KGM
160414990,KGM
160415,
160415100,KGM
160415900,KGM
160416,
160416100,KGM
160416900,KGM
160417,
160417100,KGM
160417900,KGM
160418,
160418100,KGM
160418910,KGM
160418990,KGM
160419,
160419200,KGM
160419300,KGM
160419900,KGM
160420,
160420200,KGM
160420300,KGM
160420400,KGM
160420910,KGM
160420990,KGM
16043100,KGM
16043200,KGM
160510,
160510110,KGM
160510120,KGM
160510130,KGM
160510140,KGM
160510900,KGM
16052100,KGM
160529,
160529200,KGM
160529300,KGM
160529900,KGM
16053000,KGM
16054000,KGM
16055100,KGM
16055200,KGM
16055300,KGM
160554,
160554100,KGM
160554900,KGM
16055500,KGM
16055600,KGM
160557,
160557100,KGM
160557900,KGM
16055800,KGM
16055900,KGM
16056100,KGM
16056200,KGM
16056300,KGM
16056900,KGM
17011200,KGM
17011300,KGM
17011400,KGM
17019100,KGM
170199,
170199100,KGM
170199900,KGM
17021100,KGM
17021900,KGM
17022000,KGM
17023,
170230100,KGM
170230200,KGM
17024000,KGM
17025000,KGM
170260,
170260100,KGM
170260200,KGM
170290,
170290110,KGM
170290190,KGM
170290200,KGM
170290300,KGM
170290400,KGM
170290510,KGM
170290590,KGM
170290910,KGM
170290990,KGM
170310,
170310100,KGM
170310900,KGM
17039,
170390100,KGM
170390900,KGM
17041000,KGM
17049,
170490100,KGM
170490200,KGM
170490910,KGM
170490990,KGM
18010,
18010100,KGM
18010900,KGM
1802000,KGM
18031000,KGM
18032000,KGM
1804000,KGM
1805000,KGM
18061000,KGM
180620,
180620100,KGM
180620900,KGM
18063100,KGM
18063200,KGM
180690,
180690100,KGM
180690300,KGM
180690400,KGM
180690900,KGM
190110,
190110100,KGM
190110200,KGM
190110300,KGM
190110910,KGM
190110920,KGM
190110990,KGM
190120,
190120100,KGM
190120200,KGM
190120300,KGM
190120400,KGM
190190,
190190110,KGM
190190190,KGM
190190200,KGM
190190310,KGM
190190320,KGM
190190390,KGM
190190410,KGM
190190490,KGM
190190910,KGM
190190990,KGM
19021100,KGM
190219,
190219200,KGM
190219300,KGM
190219400,KGM
190219900,KGM
190220,
190220100,KGM
190220300,KGM
190220900,KGM
190230,
190230200,KGM
190230300,KGM
190230400,KGM
190230900,KGM
19024000,KGM
1903000,KGM
190410,
190410100,KGM
190410900,KGM
190420,
190420100,KGM
190420900,KGM
19043000,KGM
190490,
190490100,KGM
190490900,KGM
19051000,KGM
19052000,KGM
190531,
190531100,KGM
190531200,KGM
190532,
190532100,KGM
190532200,KGM
190540,
190540100,KGM
190540900,KGM
190590,
190590100,KGM
190590200,KGM
190590300,KGM
190590400,KGM
190590500,KGM
190590600,KGM
190590700,KGM
190590800,KGM
190590900,KGM
20011000,KGM
200190,
200190100,KGM
200190900,KGM
20021000,KGM
200290,
200290100,KGM
200290200,KGM
200290900,KGM
20031000,KGM
200390,
200390100,KGM
200390900,KGM
20041000,KGM
200490,
200490100,KGM
200490900,KGM
200510,
200510200,KGM
200510300,KGM
200520,
200520110,KGM
200520190,KGM
200520910,KGM
200520990,KGM
20054000,KGM
20055100,KGM
200559,
200559100,KGM
200559900,KGM
20056000,KGM
20057000,KGM
20058000,KGM
20059100,KGM
200599,
200599100,KGM
200599900,KGM
2006000,KGM
20071000,KGM
20079100,KGM
200799,
200799100,KGM
200799200,KGM
200799300,KGM
200799900,KGM
200811,
200811100,KGM
200811200,KGM
200811900,KGM
200819,
200819100,KGM
200819910,KGM
200819990,KGM
200820,
200820100,KGM
200820900,KGM
200830,
200830100,KGM
200830900,KGM
20084000,KGM
20085000,KGM
200860,
200860100,KGM
200860900,KGM
200870,
200870100,KGM
200870900,KGM
20088000,KGM
20089100,KGM
200893,
200893100,KGM
200893900,KGM
200897,
200897100,KGM
200897200,KGM
200897900,KGM
200899,
200899100,KGM
200899200,KGM
200899300,KGM
200899400,KGM
200899900,KGM
20091100,KGM
20091200,KGM
20091900,KGM
20092100,KGM
20092900,KGM
20093100,KGM
20093900,KGM
20094100,KGM
20094900,KGM
20095000,KGM
20096100,KGM
20096900,KGM
20097100,KGM
20097900,KGM
200981,
200981100,KGM
200981900,KGM
200989,
200989100,KGM
200989200,KGM
200989300,KGM
200989400,KGM
200989910,KGM
200989990,KGM
200990,
200990100,KGM
200990910,KGM
200990990,KGM
210111,
210111110,KGM
210111190,KGM
210111900,KGM
210112,
210112100,KGM
210112910,KGM
210112920,KGM
210112990,KGM
210120,
210120200,KGM
210120300,KGM
210120900,KGM
21013000,KGM
21021000,KGM
210220,
210220100,KGM
